[0.175s] Invoking command in '/home/giacomo/thesis_ws/build/my_bot': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/giacomo/thesis_ws/install/bumper_cars:/home/giacomo/ros2_ws/install/py_pubsub:/home/giacomo/ros2_ws/install/my_robot_controller:/home/giacomo/ros2_ws/install/py_srvcli:/opt/ros/humble /usr/bin/cmake --build /home/giacomo/thesis_ws/build/my_bot -- -j8 -l8
[0.239s] Invoked command in '/home/giacomo/thesis_ws/build/my_bot' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/giacomo/thesis_ws/install/bumper_cars:/home/giacomo/ros2_ws/install/py_pubsub:/home/giacomo/ros2_ws/install/my_robot_controller:/home/giacomo/ros2_ws/install/py_srvcli:/opt/ros/humble /usr/bin/cmake --build /home/giacomo/thesis_ws/build/my_bot -- -j8 -l8
[0.311s] Invoking command in '/home/giacomo/thesis_ws/build/my_bot': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/giacomo/thesis_ws/install/bumper_cars:/home/giacomo/ros2_ws/install/py_pubsub:/home/giacomo/ros2_ws/install/my_robot_controller:/home/giacomo/ros2_ws/install/py_srvcli:/opt/ros/humble /usr/bin/cmake --install /home/giacomo/thesis_ws/build/my_bot
[0.323s] -- Install configuration: ""
[0.323s] -- Execute custom install script
[0.324s] -- Up-to-date symlink: /home/giacomo/thesis_ws/install/my_bot/share/my_bot/config/drive_bot.rviz
[0.324s] -- Up-to-date symlink: /home/giacomo/thesis_ws/install/my_bot/share/my_bot/config/empty.yaml
[0.324s] -- Up-to-date symlink: /home/giacomo/thesis_ws/install/my_bot/share/my_bot/config/view_bot.rviz
[0.327s] [33mCMake Warning (dev) at ament_cmake_symlink_install/ament_cmake_symlink_install.cmake:62 (file):
[0.327s]   Policy CMP0009 is not set: FILE GLOB_RECURSE calls should not follow
[0.327s]   symlinks by default.  Run "cmake --help-policy CMP0009" for policy details.
[0.328s]   Use the cmake_policy command to set the policy and suppress this warning.
[0.328s] Call Stack (most recent call first):
[0.328s]   ament_cmake_symlink_install/ament_cmake_symlink_install.cmake:314 (ament_cmake_symlink_install_directory)
[0.328s]   cmake_install.cmake:46 (include)
[0.329s] This warning is for project developers.  Use -Wno-dev to suppress it.
[0.329s] [0m
[0.329s] -- Up-to-date symlink: /home/giacomo/thesis_ws/install/my_bot/share/my_bot/description/build/.built_by
[0.330s] -- Up-to-date symlink: /home/giacomo/thesis_ws/install/my_bot/share/my_bot/description/build/COLCON_IGNORE
[0.330s] -- Up-to-date symlink: /home/giacomo/thesis_ws/install/my_bot/share/my_bot/description/build/py_pubsub/build/lib/py_pubsub/__init__.py
